HOME,DRAW,AWAY,HASIL
1.44,4.33,7,H
1.53,4.2,5.75,D
7,4.33,1.44,A
1.25,6.5,9,H
3.25,3.6,2.1,A
1.66,3.8,5,D
1.44,4.33,7,D
1.4,5,6.5,H
3.5,3.6,2,A
1.36,4.75,8.5,H
4,3.75,1.83,A
1.22,6.5,11,H
3.4,3.5,2.04,H
2.37,3.4,2.87,A
4.33,3.5,1.83,A
3,3.5,2.25,D
3.6,3.4,2.04,D
4.75,4,1.64,A
1.4,4.75,7,H
3.1,3.5,2.2,H
1.61,3.75,5.5,H
1.57,3.75,6,A
2.3,3.4,3,A
1.53,4,6,H
1.8,3.75,4.2,H
1.2,6,15,H
1.28,5.25,10,H
3.1,3.5,2.2,A
1.57,4.2,5.25,H
5.25,4.2,1.57,H
2.14,3.4,3.3,H
1.95,3.5,3.8,H
1.66,4,4.75,D
3.3,3.5,2.1,A
4.2,4,1.75,D
1.16,7.5,13,H
1.85,4,3.6,H
2.1,3.4,3.4,D
1.55,3.8,6.5,D
2.2,3.5,3.1,D
1.9,3.5,4,H
1.5,4.33,6,A
3.1,3.4,2.25,H
1.64,4.2,4.75,A
2.25,3.5,3,A
2.04,3.6,3.4,D
2.8,3.4,2.4,H
3.2,3.6,2.1,D
2.1,3.5,3.3,H
5,3.8,1.66,A
2.8,3.4,2.4,A
1.9,3.6,3.75,A
1.55,4.33,5.25,H
1.3,5.75,8.5,H
1.36,4.75,8,H
2.04,3.5,3.4,A
1.44,4.5,6.5,D
2.5,3.4,2.7,D
4.2,3.75,1.8,A
2.9,3.2,2.45,H
3.75,3.4,2,A
2.7,3.4,2.5,A
1.53,4.2,5.75,H
2.5,3.4,2.7,D
2.8,3.5,2.37,A
2.62,3.3,2.6,H
3.5,3.6,2,A
1.18,7.5,12,D
1.36,4.5,9,H
1.16,7.5,13,H
2.04,3.6,3.3,H
5.75,4.2,1.53,D
1.36,5,7.5,H
1.83,3.5,4.2,H
3.3,3.5,2.1,A
1.66,3.8,5,H
2.7,3.4,2.5,D
3,3.4,2.3,D
4.33,4,1.72,D
1.61,4,5,D
4.5,4,1.7,H
3,3.25,2.37,D
4.75,3.75,1.72,A
1.9,3.6,3.75,H
1.36,5.25,7,H
5.5,4.2,1.55,H
3.3,3.5,2.1,A
2.04,3.5,3.4,H
1.5,4.5,6,D
1.25,5.5,12,D
3.5,3.75,1.95,H
3.1,3.3,2.3,H
2.25,3.3,3.2,H
1.9,3.6,3.75,D
1.61,4,5,H
2.45,3.3,2.8,H
2,3.5,3.6,H
1.95,3.5,3.75,A
5.5,3.8,1.61,A
1.44,4.5,6.5,H
1.85,3.6,4,H
3.6,3.6,1.95,H
2.37,3.6,2.7,A
1.6,4.33,4.75,H
2,3.6,3.5,H
2.6,3.6,2.5,A
7.5,5.5,1.33,D
1.36,5.5,7,A
1.16,7,15,A
3.1,3.4,2.25,A
1.4,5,6.5,H
2.62,3.4,2.54,A
2,3.5,3.6,D
3.5,3.6,2,A
3.3,3.6,2.04,H
6.5,4,1.5,D
1.66,3.6,5.25,A
1.57,4,5.5,H
1.72,3.75,4.5,H
1.72,3.75,4.5,D
3.1,3.5,2.2,A
1.66,3.8,5,H
1.61,4.2,4.75,H
7,5,1.36,H
1.2,7,11,D
2.7,3.4,2.5,D
1.8,3.8,4,H
2.3,3.4,3,D
1.83,3.75,4,D
3.6,3.5,2,A
1.44,4.2,7.5,H
2.8,3.4,2.4,H
1.36,5,7.5,A
2.04,3.5,3.4,H
3.3,4,2,D
3.6,3.5,2,H
3.8,3.8,1.85,H
1.2,6.5,13,H
1.85,4,3.6,H
1.33,5.25,8,H
4.33,3.8,1.75,H
1.9,3.6,3.75,D
1.36,5,7.5,H
2,3.4,3.75,H
1.61,4,5,H
6.5,5,1.4,A
2.45,3.5,2.7,H
1.5,4.33,6,H
2.25,3.5,3,A
2.62,3.4,2.54,A
1.57,4,5.5,H
2,3.6,3.5,H
2.9,3.5,2.3,D
1.33,5,8.5,H
7,4.75,1.4,A
6,4.5,1.45,A
1.85,3.8,3.8,H
1.45,4.5,6.5,H
2.4,3.4,2.8,D
2.62,3.4,2.6,A
1.5,4.33,6,A
2.05,3.5,3.4,H
2,3.5,3.6,H
2.7,3.25,2.6,D
2.5,3.6,2.6,A
1.36,4.75,8,D
1.14,8,15,A
2.8,3.6,2.3,A
1.44,4.5,6.5,H
3,3.75,2.15,A
6,4.33,1.5,A
2.5,3.3,2.75,H
1.57,4.2,5.25,H
3.8,3.6,1.9,A
10,6,1.25,A
1.8,4,3.8,H
1.75,3.75,4.5,D
2,3.6,3.5,H
1.9,3.8,3.75,H
1.57,4.2,5.25,H
1.65,4.33,4.5,D
2.4,3.5,2.8,A
4.5,3.75,1.72,H
1.55,4,5.75,H
1.6,4.2,5.25,D
5.75,4.75,1.45,D
1.5,4.33,6,A
1.36,5,7.5,H
2.2,3.3,3.25,A
2.3,3.4,3,D
5.25,4,1.6,H
2.05,3.5,3.4,D
2.7,3.4,2.5,A
2.37,3.4,2.87,H
1.8,3.75,4.2,H
2.25,3.5,3.1,H
2.1,3.5,3.25,D
2.45,3.75,2.6,A
1.61,3.75,5.75,H
3.6,3.5,2,A
2.8,3.4,2.4,D
1.61,4,5,D
2.2,3.5,3.1,H
1.57,4.2,5.25,D
3.75,3.6,1.9,D
1.33,5.25,8,H
1.6,4.2,5,H
1.75,3.8,4.33,D
1.55,4,5.75,H
5.25,4.2,1.57,A
3.3,3.8,2,A
1.6,4.33,4.75,H
1.85,3.8,3.8,A
4.2,3.8,1.75,A
5,4.33,1.57,A
1.14,8,15,H
1.36,4.5,9,H
2.25,3.6,2.9,D
3.8,3.6,1.9,D
1.57,4,5.5,A
1.3,5.25,10,A
3.6,3.4,2.05,H
2.1,3.5,3.25,H
5.25,3.8,1.6,A
3.5,3.75,1.95,A
1.25,5.25,13,H
4.2,4.2,1.7,D
1.5,3.8,6,A
1.3,5,10,D
1.4,4.5,6.5,H
4.5,3.8,1.65,H
3.75,3.6,1.9,A
4.5,3.5,1.8,D
1.6,3.8,4.75,A
2.3,3.4,3,D
2.3,3.4,3,A
3.5,3.4,2.05,A
1.25,6,12,D
1.4,4.2,8.5,H
1.36,4.75,8,A
3.8,3.8,1.85,H
2.4,3.4,2.8,H
8.5,4.5,1.36,A
1.4,4.5,7.5,H
5.5,4,1.57,A
2.3,3.5,2.9,D
1.66,4,4.75,H
1.8,3.75,4.33,A
4,3.8,1.72,A
2.6,3.4,2.6,H
2.2,3.4,3.2,D
1.3,5.5,9,A
1.36,4.33,8.5,D
2.1,3.5,3.3,D
3.5,3.75,1.95,D
2,3.5,3.6,D
2.25,3.5,2.9,A
2.5,3.5,2.62,A
2.87,3.4,2.37,A
2.8,3.6,2.3,A
2.9,3.5,2.25,A
2.1,3.4,3.3,H
1.66,4,4.33,H
3.1,3.75,2.15,H
1.8,3.75,4.2,A
5,3.8,1.65,H
1.16,7.5,13,H
1.44,4.5,6.5,H
4,3.8,1.8,A
3.5,3.6,2,A
1.85,3.8,3.8,H
3.25,3.75,2.05,H
1.66,3.75,5,H
2,3.5,3.6,H
4.33,3.75,1.75,A
6.25,4.2,1.5,A
6.25,4.2,1.5,A
1.53,4.33,5.5,H
1.61,4.2,4.75,H
1.65,4.2,4.75,D
2.05,3.6,3.3,H
3.1,3.6,2.2,A
1.45,4.5,6.5,H
1.75,4,4.2,H
1.44,4.75,6,A
1.5,4,7,D
1.6,4,5.25,D
1.2,6,12,H
5,3.6,1.72,D
1.5,4.33,6,D
1.83,4,3.75,H
5.25,4.75,1.45,D
2,3.6,3.5,A
2.37,3.75,2.75,H
2.8,3.6,2.3,D
1.57,4.2,5.25,H
1.75,3.8,4.33,H
2.2,3.6,3,A
1.72,3.8,4.2,H
1.14,8,15,D
1.2,7,13,H
2.25,3.25,3.4,H
1.25,6,12,H
1.75,3.75,4.75,A
1.95,3.5,4,H
2,3.5,3.75,D
2.25,3.6,3,H
5,3.8,1.7,A
6.5,4.75,1.44,A
2.2,3.4,3.3,D
4.75,4,1.7,A
1.85,3.6,4.2,H
2.9,3.4,2.4,A
2.37,3.5,2.9,A
9,4.75,1.36,A
1.5,4.5,6,H
2.4,3.4,2.9,A
3.2,4,2.05,A
1.08,11,26,H
2.37,3.5,3,A
1.53,4.75,5.25,D
2.1,3.6,3.4,H
1.44,5,6,D
10,5.75,1.28,H
1.72,4,4.5,H
1.66,4,4.75,H
3.1,3.5,2.25,D
3.5,3.6,2.05,H
1.8,4,4,H
2.5,3.5,2.7,A
2.3,3.4,3.1,H
2.87,3.5,2.4,A
3.8,4,1.85,D
1.7,4.2,4.5,A
3.1,3.5,2.25,A
1.61,4.2,5,H
1.11,10,21,H
1.9,3.75,3.8,D
1.7,4,4.75,H
1.36,5.5,7.5,H
4.2,4.2,1.72,A
1.66,4,5,H
4.33,4,1.75,D
1.95,3.75,3.75,D
3,3.5,2.3,A
5,4.5,1.6,A
2.5,3.5,2.75,A
2.9,3.5,2.37,A
15,10,1.14,A
1.53,4.33,6,A
1.25,6.5,11,D
2.37,3.4,2.87,A
2.15,3.6,3.3,A
1.65,4,4.75,H
1.11,9,26,A
5.75,4.2,1.57,D
2.25,3.5,3.1,D
2.5,3.5,2.8,A
1.57,4.33,5.5,D
1.5,4.33,6.5,H
1.66,4,5,H
2.1,3.6,3.4,D
2.75,3.9,2.3,H
15,8,1.16,D
2.55,3.4,2.62,H
1.53,4.5,5.75,D
2.5,3.5,2.7,H
2.1,3.75,3.2,D
1.44,5,6.5,H
1.65,4.5,4.33,H
2.75,3.4,2.55,H
2.5,3.6,2.62,H
1.09,12,19,H
4,3.8,1.85,H
2.05,3.6,3.6,A
2.37,3.75,2.7,H
3.1,3.6,2.2,D
1.57,4.33,5.5,D
1.57,4.33,5.5,D
1.83,4,3.75,H
1.4,4.75,7,H
1.5,4.5,6.5,H
6.5,5.25,1.4,H
1.95,3.9,3.5,A
1.33,5.25,8,H
1.85,3.8,3.8,D
2.87,3.3,2.5,H
2.8,3.4,2.5,H
4,3.6,1.85,A
2.5,3.6,2.7,A
4.2,4,1.8,A
2.15,3.4,3.5,A
2.62,3.75,2.5,A
1.5,4.2,7,D
1.53,4.75,5.5,H
1.72,4.1,4.33,H
2.87,3.6,2.37,A
2.7,3.6,2.5,H
1.14,9,15,D
